date,ripple,isPartial
2017-03-26,71.03825136612022,False
2017-03-27,99.45355191256832,False
2017-03-28,113.66120218579236,False
2017-03-29,95.9016393442623,False
2017-03-30,138.52459016393445,False
2017-03-31,152.73224043715848,False
2017-04-01,131.42076502732243,False
2017-04-02,195.35519125683064,False
2017-04-03,145.62841530054646,False
2017-04-04,124.3169398907104,False
2017-04-05,127.86885245901641,False
2017-04-06,117.21311475409837,False
2017-04-07,99.45355191256832,False
2017-04-08,95.9016393442623,False
2017-04-09,106.55737704918035,False
2017-04-10,113.66120218579236,False
2017-04-11,99.45355191256832,False
2017-04-12,131.42076502732243,False
2017-04-13,95.9016393442623,False
2017-04-14,127.86885245901641,False
2017-04-15,88.79781420765028,False
2017-04-16,63.934426229508205,False
2017-04-17,88.79781420765028,False
2017-04-18,99.45355191256832,False
2017-04-19,85.24590163934427,False
2017-04-20,117.21311475409837,False
2017-04-21,106.55737704918035,False
2017-04-22,85.24590163934427,False
2017-04-23,95.9016393442623,False
2017-04-24,99.45355191256832,False
2017-04-25,99.45355191256832,False
2017-04-26,99.45355191256832,False
2017-04-27,95.9016393442623,False
2017-04-28,134.97267759562843,False
2017-04-29,131.42076502732243,False
2017-04-30,120.76502732240438,False
2017-05-01,134.97267759562843,False
2017-05-02,145.62841530054646,False
2017-05-03,117.21311475409837,False
2017-05-04,152.73224043715848,False
2017-05-05,177.59562841530055,False
2017-05-06,170.49180327868854,False
2017-05-07,184.6994535519126,False
2017-05-08,323.224043715847,False
2017-05-09,237.97814207650276,False
2017-05-10,195.35519125683064,False
2017-05-11,220.2185792349727,False
2017-05-12,184.6994535519126,False
2017-05-13,188.2513661202186,False
2017-05-14,145.62841530054646,False
2017-05-15,294.80874316939895,False
2017-05-16,319.672131147541,False
2017-05-17,351.63934426229514,False
2017-05-18,291.25683060109293,False
2017-05-19,280.6010928961749,False
2017-05-20,223.7704918032787,False
2017-05-21,245.08196721311478,False
2017-05-22,355.1912568306011,False
2017-05-23,291.25683060109293,False
2017-05-24,291.25683060109293,False
2017-05-25,280.6010928961749,False
2017-05-26,326.77595628415304,False
2017-05-27,241.53005464480876,False
2017-05-28,266.39344262295083,False
2017-05-29,248.6338797814208,False
2017-05-30,277.0491803278689,False
2017-05-31,241.53005464480876,False
2017-06-01,291.25683060109293,False
2017-06-02,262.84153005464486,False
2017-06-03,220.2185792349727,False
2017-06-04,188.2513661202186,False
2017-06-05,202.45901639344265,False
2017-06-06,220.2185792349727,False
2017-06-07,202.45901639344265,False
